Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit,2021-22
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Surface water,ML,4176000
Australian Capital Territory,8,Other industries,E -S,Use,Surface water,ML,3628065
Australian Capital Territory,8,Total industry,Total industry,Use,Surface water,ML,4259064
Australian Capital Territory,8,Total,Total,Use,Surface water,ML,4259064
Australian Capital Territory,8,"Agriculture, forestry and fishing (d)",A,Use,Groundwater,ML,112476
Australian Capital Territory,8,Other industries,E -S,Use,Groundwater,ML,1278051
Australian Capital Territory,8,Total industry,Total industry,Use,Groundwater,ML,1664402
Australian Capital Territory,8,Total,Total,Use,Groundwater,ML,1664402
Australian Capital Territory,8,"Agriculture, forestry and fishing (d)",A,Use,Self-extracted,ML,2576014
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Use,Self-extracted,ML,4176000
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Self-extracted,ML,4176000
Australian Capital Territory,8,Other industries,E -S,Use,Self-extracted,ML,4906116
Australian Capital Territory,8,Total industry,Total industry,Use,Self-extracted,ML,4275708
Australian Capital Territory,8,Total,Total,Use,Self-extracted,ML,4275708
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Distributed,ML,338758
Australian Capital Territory,8,Total industry,Total industry,Use,Distributed,ML,1137000
Australian Capital Territory,8,Households (e),HH,Use,Distributed,ML,3039000
Australian Capital Territory,8,Total,Total,Use,Distributed,ML,4176000
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Use,Wastewater (c),ML,4441100
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Wastewater (c),ML,4441100
Australian Capital Territory,8,Total industry,Total industry,Use,Wastewater (c),ML,4441100
Australian Capital Territory,8,Total,Total,Use,Wastewater (c),ML,4441100
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Use,Reuse,ML,440600
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Reuse,ML,440600
Australian Capital Territory,8,Other industries,E -S,Use,Reuse,ML,18
Australian Capital Territory,8,Total industry,Total industry,Use,Reuse,ML,442400
Australian Capital Territory,8,Total,Total,Use,Reuse,ML,442400
Australian Capital Territory,8,Environment,Environment,Use,Return flows (b),ML,3946855
Australian Capital Territory,8,Total,Total,Use,Return flows (b),ML,3946855
